"","x"
"1",0.104509135802
"2",0.13677654321
"3",0.142874320988
"4",0.131525679012
"5",0.12949308642
"6",0.13762345679
"7",0.135421481481
"8",0.134235802469
"9",0.145076296296
"10",0.157610617284
"11",0.148887407407
"12",0.126613580247
"13",0.112554814815
"14",0.110522222222
"15",0.132457283951
"16",0.167350123457
"17",0.182340493827
"18",0.164470617284
"19",0.124242222222
"20",0.0941767901235
"21",0.0951930864198
"22",0.123818765432
"23",0.171838765432
"24",0.226125925926
"25",0.189369876543
"26",0.0362479012346
"27",-0.0709713580247
"28",-0.030827654321
"29",0.10162962963
"30",0.191402469136
"31",0.200464444444
"32",0.185812839506
"33",0.17022962963
"34",0.142959012346
"35",0.106541728395
"36",0.0896034567901
"37",0.105271358025
"38",0.150327160494
"39",0.202751111111
"40",0.230783950617
"41",0.170399012346
"42",0.0569972839506
"43",0.034384691358
"44",0.078932345679
"45",0.100528641975
"46",0.111115061728
"47",0.125004444444
"48",0.12864617284
"49",0.112724197531
"50",0.099597037037
"51",0.110437530864
"52",0.123395308642
"53",0.116704691358
"54",0.109421234568
"55",0.112978271605
"56",0.10806617284
"57",0.104339753086
"58",0.111250567901
"59",0.115840839506
"60",0.102425728395
"61",0.0692605925923
"62",0.0461229135798
